照明0,照明1,照明2,照明3,照明4,照明5,照明6,照明7,照明8,照明9,照明10,照明11,照明12,照明13,照明14,センサ0,センサ1,センサ2,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,452.0,390.0,390.0,390.0,298,407,276,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,522.0,390.0,390.0,390.0,291,385,260,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,590.5,390.0,390.0,390.0,291,388,263,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,657.5,390.0,390.0,390.0,292,390,266,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,723.0,390.0,390.0,390.0,292,393,269,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,787.0,390.0,390.0,390.0,293,395,272,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,849.5,390.0,390.0,390.0,293,397,275,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,910.5,390.0,390.0,390.0,294,400,278,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,970.5,390.0,390.0,390.0,294,402,280,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1029.0,390.0,390.0,390.0,294,404,283,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1086.0,390.0,390.0,390.0,295,406,286,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1142.0,390.0,390.0,390.0,295,408,288,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1196.5,390.0,390.0,390.0,296,410,291,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1250.0,390.0,390.0,390.0,296,412,293,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,390.0,390.0,390.0,296,414,295,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,441.0,390.0,390.0,297,416,298,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,492.0,390.0,390.0,297,419,298,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,542.5,390.0,390.0,297,422,299,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,592.5,390.0,390.0,298,424,300,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,642.0,390.0,390.0,298,427,301,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,691.5,390.0,390.0,298,430,301,
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,1300,740.5,390.0,390.0,299,433,302,
